Gene	Tissue	Gene name	Cluster	Cell type	Read count	pTPM
9606.ENSP00000000233	brain	ARF5	c-9	excitatory neurons	48578715.0	104.5
9606.ENSP00000000233	brain	ARF5	c-26	inhibitory neurons	14766772.0	91.4
9606.ENSP00000000233	brain	ARF5	c-43	microglial cells	390440.0	76.8
9606.ENSP00000000233	brain	ARF5	c-35	astrocytes	1538564.0	56.5
9606.ENSP00000000233	brain	ARF5	c-12	oligodendrocytes	8026745.0	52.9
9606.ENSP00000000233	brain	ARF5	c-42	oligodendrocyte precursor cells	1265946.0	42.7
9606.ENSP00000000233	urogenital system					
9606.ENSP00000000412	brain	M6PR	c-43	microglial cells	390440.0	58.9
9606.ENSP00000000412	brain	M6PR	c-8	inhibitory neurons	58348022.0	48.0
9606.ENSP00000000412	brain	M6PR	c-2	excitatory neurons	74197620.0	40.7
9606.ENSP00000000412	brain	M6PR	c-12	oligodendrocytes	8026745.0	32.3
9606.ENSP00000000412	brain	M6PR	c-42	oligodendrocyte precursor cells	1265946.0	26.9
9606.ENSP00000000412	brain	M6PR	c-35	astrocytes	1538564.0	26.6
9606.ENSP00000000412	lung	M6PR	c-0	macrophages	1636431.0	217.5
9606.ENSP00000000412	lung	M6PR	c-4	granulocytes	326433.0	202.2
9606.ENSP00000000412	lung	M6PR	c-3	t-cells	540980.0	160.8
9606.ENSP00000000412	lung	M6PR	c-7	club cells	594656.0	102.6
9606.ENSP00000000412	lung	M6PR	c-10	alveolar cells type 1	181256.0	99.3
9606.ENSP00000000412	lung	M6PR	c-8	respiratory ciliated cells	474551.0	94.8
9606.ENSP00000000412	lung	M6PR	c-7	basal respiratory cells	5303186.0	88.2
9606.ENSP00000000412	lung	M6PR	c-6	alveolar cells type 2	288663.0	86.6
9606.ENSP00000000412	lung	M6PR	c-3	club cells	7739077.0	60.1
9606.ENSP00000000412	lung	M6PR	c-9	endothelial cells	192094.0	57.3
9606.ENSP00000000412	lung	M6PR	c-10	respiratory ciliated cells	3091119.0	54.0
9606.ENSP00000000412	lung	M6PR	c-15	ionocytes	378503.0	52.8
9606.ENSP00000000412	lung	M6PR	c-5	fibroblasts	738761.0	48.7
9606.ENSP00000000412	lung	M6PR	c-14	smooth muscle cells	862691.0	24.3
9606.ENSP00000000412	skin	M6PR	c-13	melanocytes	558734.0	68.0
9606.ENSP00000000412	skin	M6PR	c-0	langerhans cells	6478719.0	63.3
9606.ENSP00000000412	skin	M6PR	c-7	t-cells	2726851.0	50.2
9606.ENSP00000000412	skin	M6PR	c-8	smooth muscle cells	2204649.0	43.1
9606.ENSP00000000412	skin	M6PR	c-4	endothelial cells	6948365.0	36.0
9606.ENSP00000000412	skin	M6PR	c-5	basal keratinocytes	9562322.0	34.6
9606.ENSP00000000412	skin	M6PR	c-9	fibroblasts	1766992.0	32.3
9606.ENSP00000000412	skin	M6PR	c-6	suprabasal keratinocytes	9007898.0	28.5
9606.ENSP00000000412	urogenital system					
9606.ENSP00000003084	gastrointestinal tract					
9606.ENSP00000003084	intestine	CFTR	c-11	paneth cells	329372.0	173.1
9606.ENSP00000003084	intestine	CFTR	c-2	undifferentiated cells	1419750.0	139.5
9606.ENSP00000003084	intestine	CFTR	c-3	undifferentiated cells	5928643.0	114.7
