Tissue,Cell type,ITGB1,ITGB2,ITGB4,ITGB5,APOB,AFDN,APLP2,APP,LAMA1,LAMB1,LAMB2,LAMB3,ERBB2,ERBB3,SORT1,DAG1,FAT1,PSEN1,AGRN,HSPG2,CTNNA1,VCL,LYZ,SCARB1,SCARB2,APH1A,SPARC,SPARCL1,PLA2G2A,GNG12,DCC,NEO1,PTK2,CRTAP,IGF2R,TIMP1,TIMP2,TIMP3,CD68,LAMP1,LAMP2,LAMP3
skin,b-cells,206.4,,,10.2,,,121.1,52.9,,,,3.4,,,3.4,5.1,,,,,78.5,,,20.5,,116.0,78.5,,,10.2,,,,56.3,,583.3,117.7,35.8,13.6,11.9,52.9,
skin,basal keratinocytes,784.4,,,17.7,,,116.3,207.1,,,,169.3,,,1.7,17.3,,,,,79.5,,,4.2,,63.2,109.4,,,220.6,,,,53.4,,119.0,48.6,39.7,1.5,144.2,115.4,
skin,endothelial cells,345.6,,,20.4,,,268.1,499.9,,,,2.7,,,12.3,25.6,,,,,126.1,,,75.3,,82.9,979.4,,,168.1,,,,171.8,,564.3,360.7,820.6,8.1,134.8,70.6,
skin,fibroblasts,448.0,,,145.9,,,298.0,443.5,,,,4.2,,,2.7,34.7,,,,,77.7,,,5.7,,78.1,2756.8,,,119.6,,,,191.8,,1535.8,2096.2,810.2,10.4,340.1,164.2,
skin,langerhans cells,214.4,,,12.0,,,239.1,80.2,,,,44.1,,,15.6,3.9,,,,,86.2,,,15.6,,111.5,156.1,,,14.5,,,,117.5,,3306.1,131.0,57.9,92.5,45.6,86.9,
skin,macrophages,198.5,,,38.3,,,340.5,66.5,,,,9.0,,,6.8,4.5,,,,,107.1,,,31.6,,80.1,89.1,,,37.2,,,,139.8,,828.8,242.4,30.4,125.2,251.5,198.5,
skin,smooth muscle cells,871.1,,,41.8,,,426.3,217.6,,,,3.4,,,41.4,27.9,,,,,102.7,,,3.9,,43.4,1182.8,,,152.0,,,,180.1,,550.5,307.7,886.3,1.6,135.2,64.7,
skin,suprabasal keratinocytes,190.5,,,20.0,,,97.9,99.8,,,,35.0,,,1.8,13.2,,,,,79.6,,,3.5,,80.7,47.8,,,217.8,,,,46.3,,61.2,25.6,21.3,0.8,192.4,141.9,
lung,alveolar cells type 1,571.4,3.2,,29.2,0.2,194.9,732.2,142.2,0.5,5.0,83.1,251.8,,,63.4,79.3,,,72.2,174.6,419.2,290.0,13.3,,130.3,50.9,59.2,26.1,,,,,,44.0,72.9,226.6,170.4,2064.5,1.1,191.9,84.4,30.6
lung,alveolar cells type 2,215.2,129.7,,8.5,0.2,81.8,693.9,82.7,1.9,1.9,44.4,68.8,,,55.7,43.2,,,33.6,46.9,226.9,92.2,1304.6,,118.1,75.2,17.9,25.4,,,,,,65.8,77.9,600.6,174.8,37.6,19.7,205.8,122.2,673.6
lung,club cells,316.6,47.0,,24.4,2.1,55.7,559.7,375.5,0.4,6.9,68.8,294.1,,,36.4,35.2,,,103.3,77.3,199.7,110.4,2429.7,,93.3,106.9,19.4,21.9,,,,,,36.0,67.3,814.3,39.6,41.0,19.1,115.8,328.4,5.0
lung,macrophages,323.0,1221.4,,51.0,0.5,58.6,908.8,98.1,3.0,8.4,17.5,5.0,,,177.3,10.4,,,10.1,7.7,156.7,67.3,5473.7,,229.6,124.6,157.9,16.1,,,,,,113.8,185.1,1778.5,659.0,33.3,96.3,555.7,420.9,23.5
lung,respiratory ciliated cells,207.5,28.0,,19.5,0.4,200.9,246.1,208.4,0.5,44.8,29.9,118.8,,,45.9,43.6,,,70.4,87.5,242.2,57.9,101.9,,104.6,67.3,15.8,14.7,,,,,,14.9,59.8,127.5,59.8,15.2,4.2,97.2,117.1,15.0
lung,smooth muscle cells,565.3,7.2,,71.7,1.2,62.0,321.9,168.7,2.4,305.9,75.3,76.6,,,69.3,123.1,,,25.0,56.2,109.3,178.1,39.4,,78.9,38.7,3461.3,1762.7,,,,,,76.5,136.0,5243.8,143.4,1466.3,4.8,138.6,121.3,3.6
lung,basal respiratory cells,1048.9,16.3,,49.8,,29.6,700.4,764.7,3.1,49.3,48.0,567.1,,,21.4,37.4,,,93.6,117.2,161.4,96.9,2.2,,114.0,117.6,258.0,1.0,,,,,,48.8,56.3,1416.9,18.8,76.1,5.0,141.5,480.7,3.5
lung,endothelial cells,878.3,14.3,,27.4,,149.1,232.4,924.3,0.2,71.6,139.0,12.7,,,28.3,49.9,,,31.8,388.7,195.0,210.4,53.1,,118.8,97.1,1175.9,2060.2,,,,,,73.2,50.4,3209.1,211.5,3793.1,2.1,187.7,98.4,22.3
intestine,undifferentiated cells,159.1,,54.1,,,,154.7,275.0,21.0,40.8,8.2,,88.9,161.9,,,148.4,45.0,,20.5,110.5,74.0,30474.2,,,131.0,2.6,0.4,84127.9,,,77.8,31.1,49.3,29.7,297.6,,,,129.3,,
intestine,intestinal goblet cells,139.8,,124.6,,,,239.6,462.0,122.5,33.2,8.6,,116.7,294.6,,,75.3,44.7,,22.4,203.7,58.5,90.9,,,130.6,0.2,,992.8,,,102.5,31.7,48.9,50.8,103.5,,,,179.4,,
intestine,paneth cells,115.7,,66.7,,,,186.8,312.0,76.9,32.9,35.1,,67.4,210.4,,,45.0,59.6,,21.7,161.1,69.6,490.3,,,125.0,3.5,,367.8,,,65.7,23.0,32.4,33.0,55.6,,,,168.5,,
intestine,distal enterocytes,201.7,,140.2,,,,402.3,440.7,350.0,19.9,4.6,,99.2,184.2,,,64.4,91.0,,67.1,420.0,125.4,46.5,,,155.8,,,939.5,,,90.9,20.6,23.7,41.0,74.1,,,,266.0,,
intestine,enteroendocrine cells,145.0,,39.1,,,,144.1,246.5,30.7,29.0,3.5,,51.3,143.0,,,44.8,41.8,,18.5,107.3,72.0,27.9,,,120.1,,,513.8,,,78.4,23.9,20.6,32.4,296.7,,,,114.3,,
intestine,proximal enterocytes,107.0,,94.2,,,,387.3,122.4,60.8,21.8,19.7,,114.2,270.1,,,86.5,76.2,,25.6,175.4,17.9,105.5,,,98.5,,,849.0,,,51.1,32.9,24.7,27.1,1.8,,,,362.6,,
intestine,t-cells,77.0,,4.9,,,,52.3,9.9,2.0,3.0,,,1.0,3.0,,,3.0,13.8,,3.0,24.7,2.0,235.8,,,70.0,1.0,,15.8,,,2.0,2.0,16.8,22.7,245.7,,,,129.2,,
intestine,mixed immune cells,97.5,,5.9,,,,24.7,3.5,12.2,1.2,,,12.2,12.2,,,,24.4,,,24.4,13.0,387.6,,,127.2,,,24.4,,1.2,4.7,15.3,48.8,36.6,148.5,,,,121.9,,
