label,ERBB2,ERBB3,ITGB1,ITGB2,ITGB4,ITGB5,APLP2,APP,APOB,AFDN,GNG12,GNAS,LAMA1,LAMB1,LAMB2,LAMB3,PSEN1,AGRN,HSPG2,SORT1,DAG1,APH1A,PLA2G2A,DCC,NEO1,VAMP3,VAMP8,FAT1,PSAP,SFTPB,ATRN,B2M,OS9,CTNNA1,VCL,LYZ,SCARB1,SCARB2,ATP1B1,ATP1B3,SPARC,SPARCL1,PTK2,CRTAP,IGF2R,TIMP1,TIMP2,TIMP3,CD68,LAMP1,LAMP2,LAMP3
Low-density lipoprotein receptor domain class A (15),,,0.441,0.441,0.441,0.441,,,,,,,0.654,0.654,0.654,0.654,,,,,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laminin EGF-like (2),,,0.833,0.833,0.833,0.833,,,,,,,,,,,,0.654,0.654,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncharacterized (2) KOG1480,,,,,,,,,,,,,0.446,0.446,0.446,0.446,,,,,,,,0.613,0.613,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,
Von Willebrand factor type D (4),,,,,,,0.505,0.505,,0.45,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,,,,,,,,,
Kunitz/Bovine pancreatic trypsin inhibitor (16),,,,,,,,,0.505,,0.593,,,,,,0.49,,,0.861,,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reprolysin family zinc metalloprotease,,,,,,,,,,0.395,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,0.665,0.665,0.665,,,,
EGF-like (10),,,0.441,0.441,0.441,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrombospondin type 1,,,0.91,0.91,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncharacterized KOG1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496,0.496,0.496,0.496
Lecithin:cholesterol acyltransferase,,,,,,,0.359,0.359,0.359,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZU5,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,0.669,0.669,,,,,,,,,0.45,,,,,,,,
LBP / BPI / CETP (13),,,,,,,0.359,0.359,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUF148,0.718,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499,,,,,,,
N-acetyllactosaminide 3-alpha-galactosyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825,0.825,0.825,,,,,,,,,,,,,,
Kazal-type serine protease inhibitor,0.471,0.471,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intein splicing (7),,,,,,,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA (3),,,,,,,,,,,,,,,,,0.45,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSL-like (3),,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,0.449,,,,,,,,,,,,,,,,,,,,,
SMB (2),,,,,,,,,,,,,,,,,,0.374,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncharacterized (2) KOG2352,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
uncharacterized KOG0096,,,,,,,,,,,0.365,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncharacterized KOG1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.359,,,,,,,,,,,,,,,,,,,
Leucine Rich repeat-containing,,,,,,,,,,,0.593,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncharacterized KOG2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374,0.374,,,,,,,,,,,,,,,,,,,,,,
Laminin EGF-like,,,,,,,,,,,,,,,,,,,,,,,,0.938,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncharacterized KOG3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359,0.359,,,,,,,,,,,,
SH3,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ephrin,0.614,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
