Host,Parasite,Parasite taxid,Taxonomic group,Niche in the host,Host proteins: STRING proteome,Host proteins: expressed in an infected tissue,Host proteins: in a reachable localisation,Host proteins: in an orthologous group,Host proteins: in a predicted PPI,Parasite proteins: STRING proteome,Parasite proteins: secreted or on the surface,Parasite proteins: in an orthologous group,Parasite proteins: in a predicted PPI,Predicted interactions
human,Trichinella britovi,45882,Nematoda,intracellular,19699,7552,6222,6221,480,15466,1202,1051,82,1751
human,Trichinella nativa,6335,Nematoda,intracellular,19699,7552,6222,6221,454,13202,1048,943,73,1367
human,Trichinella nelsoni,6336,Nematoda,intracellular,19699,7552,6222,6221,465,13005,989,867,63,907
human,Trichinella pseudospiralis,6337,Nematoda,intracellular,19699,7552,6222,6221,502,10629,921,792,68,964
human,Trichinella spiralis,6334,Nematoda,intracellular,19699,7552,6222,6221,455,14258,1048,874,64,966
human,Cryptosporidium muris,441375,Apicomplexa,intracellular,19699,1382,1154,1153,38,3930,303,126,12,60
human,Cryptosporidium parvum,353152,Apicomplexa,intracellular,19699,1294,1080,1079,23,3805,309,116,7,32
human,Plasmodium falciparum,36329,Apicomplexa,intracellular,19699,7426,6102,6101,738,5376,983,733,100,1706
human,Plasmodium knowlesi,5851,Apicomplexa,intracellular,19699,1922,1565,1564,177,5100,885,738,70,380
human,Plasmodium vivax,126793,Apicomplexa,intracellular,19699,1922,1565,1564,183,5389,1089,707,93,536
human,Toxoplasma gondii,432359,Apicomplexa,intracellular,19699,7584,6252,6252,139,8404,751,562,28,276
human,Leishmania infantum,5671,Kinetoplastida,intracellular,19699,1987,1625,1624,28,8045,346,337,15,49
human,Leishmania major,5664,Kinetoplastida,intracellular,19699,1405,1177,1176,38,8038,383,371,20,52
human,Trypanosoma cruzi,353153,Kinetoplastida,intracellular,19699,2569,2134,2132,143,19242,3292,1283,142,509
human,Trachipleistophora hominis,72359,Microsporidia,intracellular,19699,1276,1059,1059,0,3212,235,133,0,0
human,Vittaforma corneae,993615,Microsporidia,intracellular,19699,865,751,751,8,2236,106,35,3,8
human,Ancylostoma ceylanicum,53326,Nematoda,extracellular,19699,2489,594,593,64,36519,5004,3606,126,334
human,Brugia malayi,6279,Nematoda,extracellular,19699,634,157,157,10,8202,745,682,28,44
human,Brugia timori,42155,Nematoda,extracellular,19699,634,157,157,14,16199,1578,1278,70,89
human,Dracunculus medinensis,318479,Nematoda,extracellular,19699,1772,426,425,40,10868,1323,895,63,178
human,Enterobius vermicularis,51028,Nematoda,extracellular,19699,1772,426,425,42,12840,1714,1114,73,189
human,Loa loa,7209,Nematoda,extracellular,19699,1694,407,406,38,12152,1163,987,49,171
human,Necator americanus,51031,Nematoda,extracellular,19699,2489,594,593,61,19125,2768,2301,135,466
human,Onchocerca volvulus,6282,Nematoda,extracellular,19699,1474,318,317,27,12118,1114,1006,44,126
human,Strongyloides stercoralis,6248,Nematoda,extracellular,19699,2489,594,593,40,12819,2066,1809,46,116
human,Toxocara canis,6265,Nematoda,extracellular,19699,7680,1644,1644,134,18499,2038,1427,107,580
human,Trichuris trichiura,36087,Nematoda,extracellular,19699,1294,320,320,27,9625,835,725,40,75
human,Wuchereria bancrofti,6293,Nematoda,extracellular,19699,634,157,157,11,9343,858,832,43,64
human,Clonorchis sinensis,79923,Trematoda,extracellular,19699,1082,249,249,17,14505,816,606,50,67
human,Opisthorchis felineus,147828,Trematoda,extracellular,19699,1787,469,469,31,11402,886,686,82,142
human,Opisthorchis viverrini,6198,Trematoda,extracellular,19699,1082,249,249,19,16307,896,640,40,59
human,Schistosoma haematobium,6185,Trematoda,extracellular,19699,2999,774,773,42,11119,541,489,31,123
human,Schistosoma japonicum,6182,Trematoda,extracellular,19699,2983,770,769,51,10042,611,463,39,159
human,Schistosoma mansoni,6183,Trematoda,extracellular,19699,3007,783,782,36,14110,826,696,76,439
human,Echinococcus granulosus,6210,Cestoda,extracellular,19699,2334,540,540,30,11279,466,335,16,69
human,Echinococcus multilocularis,6211,Cestoda,extracellular,19699,2334,540,540,33,10469,450,340,19,61
human,Hymenolepis diminuta,6216,Cestoda,extracellular,19699,1294,320,320,19,11264,545,349,17,45
human,Taenia asiatica,60517,Cestoda,extracellular,19699,1294,320,320,25,10327,440,353,16,46
human,Trypanosoma brucei,185431,Kinetoplastida,extracellular,19699,7168,1480,1479,27,8561,662,334,14,34
human,Entamoeba histolytica,5759,Other protozoa,extracellular,19699,7567,1666,1666,79,7959,899,393,43,334
human,Giardia lamblia,184922,Other protozoa,extracellular,19699,1294,320,320,9,7154,746,283,34,67
human,Trichomonas vaginalis,5722,Other protozoa,extracellular,19699,1417,349,349,15,50190,4443,1088,112,216
rat,Cryptosporidium muris,441375,Apicomplexa,intracellular,22237,4456,3453,3447,125,3930,303,126,15,155
rat,Leishmania braziliensis,5660,Kinetoplastida,intracellular,22237,0,0,0,0,8084,366,341,0,0
rat,Angiostrongylus cantonensis,6313,Nematoda,extracellular,22237,9408,2091,2089,158,14486,1547,1286,99,554
rat,Angiostrongylus costaricensis,334426,Nematoda,extracellular,22237,4456,808,807,55,13350,1392,1173,83,208
rat,Nippostrongylus brasiliensis,27835,Nematoda,extracellular,22237,8287,1617,1615,165,22636,3269,2453,191,901
rat,Hymenolepis diminuta,6216,Cestoda,extracellular,22237,4456,808,807,33,11264,545,349,21,74
mouse,Cryptosporidium muris,441375,Apicomplexa,intracellular,21840,3016,2276,2269,63,3930,303,126,21,90
mouse,Leishmania braziliensis,5660,Kinetoplastida,intracellular,21840,5414,4316,4310,166,8084,366,341,37,352
mouse,Angiostrongylus cantonensis,6313,Nematoda,extracellular,21840,3930,1088,1088,96,14486,1547,1286,81,334
mouse,Angiostrongylus costaricensis,334426,Nematoda,extracellular,21840,3990,934,934,55,13350,1392,1173,83,244
mouse,Nippostrongylus brasiliensis,27835,Nematoda,extracellular,21840,5144,1384,1383,116,22636,3269,2453,160,722
mouse,Hymenolepis diminuta,6216,Cestoda,extracellular,21840,2837,729,729,34,11264,545,349,24,62
pig,Trichinella pseudospiralis,6337,Nematoda,intracellular,21278,6835,5509,5507,390,10629,921,792,63,742
pig,Trichinella spiralis,6334,Nematoda,intracellular,21278,6835,5509,5507,361,14258,1048,874,62,742
