,Ancylostoma ceylanicum,Brugia malayi,Brugia timori,Dracunculus medinensis,Enterobius vermicularis,Loa loa,Necator americanus,Onchocerca volvulus,Strongyloides stercoralis,Toxocara canis,Trichuris trichiura,Wuchereria bancrofti,Clonorchis sinensis,Opisthorchis felineus,Opisthorchis viverrini,Schistosoma haematobium,Schistosoma japonicum,Schistosoma mansoni,Echinococcus granulosus,Echinococcus multilocularis,Hymenolepis diminuta,Taenia asiatica,Trypanosoma brucei,Entamoeba histolytica,Giardia lamblia,Trichomonas vaginalis,Trichinella britovi,Trichinella nativa,Trichinella nelsoni,Trichinella pseudospiralis,Trichinella spiralis,Cryptosporidium muris,Cryptosporidium parvum,Plasmodium falciparum,Plasmodium knowlesi,Plasmodium vivax,Toxoplasma gondii,Leishmania infantum,Leishmania major,Trypanosoma cruzi,Vittaforma corneae
Ancylostoma ceylanicum,,0.104,0.147,0.552,0.631,0.378,0.667,0.379,0.552,0.303,0.379,0.136,0.141,0.377,0.203,0.493,0.597,0.429,0.324,0.329,0.277,0.369,0.083,0.192,0.123,0.145,0.069,0.07,0.093,0.068,0.07,0.085,0.101,0.03,0.066,0.093,0.068,0.082,0.085,0.062,0.014
Brugia malayi,0.104,,0.714,0.064,0.106,0.231,0.109,0.121,0.136,0.051,0.156,0.75,0.174,0.139,0.16,0.13,0.089,0.15,0.081,0.132,0.074,0.094,0.057,0.06,0.056,0.19,0.014,0.013,0.015,0.01,0.013,0.021,0.031,0.007,0.022,0.038,0.007,0.056,0.043,0.007,0.059
Brugia timori,0.147,0.714,,0.102,0.143,0.268,0.136,0.139,0.149,0.065,0.139,0.786,0.192,0.154,0.269,0.167,0.14,0.163,0.073,0.119,0.065,0.147,0.079,0.069,0.045,0.208,0.016,0.015,0.021,0.012,0.015,0.02,0.028,0.008,0.027,0.048,0.007,0.077,0.061,0.019,0.048
Dracunculus medinensis,0.552,0.064,0.102,,0.783,0.393,0.485,0.367,0.455,0.176,0.457,0.085,0.118,0.34,0.18,0.39,0.492,0.382,0.296,0.281,0.405,0.477,0.081,0.102,0.114,0.1,0.048,0.051,0.068,0.046,0.051,0.068,0.125,0.016,0.059,0.083,0.047,0.079,0.083,0.064,0.0
Enterobius vermicularis,0.631,0.106,0.143,0.783,,0.379,0.515,0.438,0.547,0.214,0.438,0.128,0.135,0.404,0.22,0.424,0.525,0.418,0.286,0.271,0.386,0.489,0.062,0.12,0.133,0.118,0.05,0.051,0.07,0.044,0.051,0.096,0.14,0.016,0.063,0.082,0.046,0.077,0.081,0.051,0.02
Loa loa,0.378,0.231,0.268,0.393,0.379,,0.456,0.625,0.444,0.229,0.3,0.256,0.17,0.278,0.213,0.404,0.328,0.423,0.308,0.392,0.239,0.235,0.083,0.147,0.068,0.152,0.051,0.051,0.055,0.044,0.051,0.056,0.089,0.016,0.044,0.073,0.035,0.082,0.07,0.052,0.022
Necator americanus,0.667,0.109,0.136,0.485,0.515,0.456,,0.397,0.603,0.283,0.443,0.143,0.13,0.373,0.176,0.471,0.534,0.448,0.338,0.362,0.29,0.365,0.086,0.167,0.129,0.152,0.069,0.071,0.08,0.074,0.071,0.088,0.105,0.023,0.062,0.089,0.07,0.085,0.076,0.079,0.015
Onchocerca volvulus,0.379,0.121,0.139,0.367,0.438,0.625,0.397,,0.457,0.201,0.317,0.152,0.189,0.289,0.211,0.353,0.3,0.4,0.326,0.333,0.278,0.268,0.059,0.152,0.125,0.2,0.043,0.043,0.047,0.039,0.043,0.083,0.136,0.013,0.041,0.055,0.044,0.1,0.083,0.037,0.061
Strongyloides stercoralis,0.552,0.136,0.149,0.455,0.547,0.444,0.603,0.457,,0.243,0.396,0.159,0.14,0.34,0.229,0.39,0.422,0.434,0.273,0.304,0.311,0.383,0.047,0.19,0.14,0.17,0.053,0.053,0.061,0.048,0.053,0.099,0.145,0.02,0.069,0.088,0.059,0.079,0.068,0.046,0.021
Toxocara canis,0.303,0.051,0.065,0.176,0.214,0.229,0.283,0.201,0.243,,0.158,0.058,0.086,0.179,0.093,0.239,0.233,0.223,0.171,0.21,0.125,0.136,0.103,0.331,0.051,0.08,0.118,0.107,0.13,0.116,0.105,0.042,0.047,0.062,0.037,0.064,0.114,0.038,0.036,0.049,0.014
Trichuris trichiura,0.379,0.156,0.139,0.457,0.438,0.3,0.443,0.317,0.396,0.158,,0.152,0.189,0.611,0.211,0.438,0.368,0.432,0.267,0.333,0.643,0.677,0.08,0.093,0.241,0.167,0.045,0.046,0.051,0.041,0.046,0.121,0.163,0.013,0.03,0.045,0.051,0.078,0.066,0.049,0.029
Wuchereria bancrofti,0.136,0.75,0.786,0.085,0.128,0.256,0.143,0.152,0.159,0.058,0.152,,0.167,0.167,0.25,0.152,0.127,0.175,0.079,0.128,0.071,0.125,0.086,0.071,0.053,0.238,0.017,0.015,0.019,0.012,0.015,0.021,0.03,0.007,0.022,0.043,0.007,0.083,0.065,0.02,0.056
Clonorchis sinensis,0.141,0.174,0.192,0.118,0.135,0.17,0.13,0.189,0.14,0.086,0.189,0.167,,0.371,0.636,0.311,0.259,0.325,0.306,0.25,0.2,0.167,0.048,0.103,0.13,0.185,0.014,0.013,0.019,0.016,0.013,0.038,0.053,0.012,0.037,0.064,0.006,0.047,0.058,0.006,0.042
Opisthorchis felineus,0.377,0.139,0.154,0.34,0.404,0.278,0.373,0.289,0.34,0.179,0.611,0.167,0.371,,0.389,0.622,0.464,0.595,0.386,0.362,0.562,0.6,0.074,0.134,0.25,0.15,0.043,0.043,0.051,0.039,0.043,0.113,0.149,0.017,0.025,0.054,0.043,0.073,0.078,0.042,0.026
Opisthorchis viverrini,0.203,0.16,0.269,0.18,0.22,0.213,0.176,0.211,0.229,0.093,0.211,0.25,0.636,0.389,,0.271,0.296,0.279,0.256,0.238,0.188,0.294,0.045,0.114,0.12,0.172,0.016,0.015,0.028,0.018,0.015,0.036,0.05,0.009,0.037,0.058,0.006,0.044,0.056,0.019,0.038
Schistosoma haematobium,0.493,0.13,0.167,0.39,0.424,0.404,0.471,0.353,0.39,0.239,0.438,0.152,0.311,0.622,0.271,,0.722,0.773,0.565,0.471,0.419,0.426,0.095,0.152,0.159,0.118,0.057,0.058,0.067,0.054,0.057,0.096,0.121,0.02,0.038,0.077,0.058,0.077,0.081,0.045,0.02
