Species,U/M,I/E,Hosts,Tissues
Ancylostoma ceylanicum,M,E,human,"skin, lung, small intestine, intestine"
Angiostrongylus cantonensis,M,E,"rat, mouse","lung, brain"
Angiostrongylus costaricensis,M,E,"rat, mouse","mesenteric artery, intestine, blood"
Brugia malayi,M,E,human,"lymph vessel, lymph node, blood"
Brugia timori,M,E,human,"lymph vessel, lymph node, blood"
Dracunculus medinensis,M,E,human,"small intestine, intestine, skin"
Enterobius vermicularis,M,E,human,"colon, intestine, skin"
Loa loa,M,E,human,"skin, blood, eye"
Necator americanus,M,E,human,"skin, lung, small intestine, intestine"
Nippostrongylus brasiliensis,M,E,"rat, mouse","skin, blood, lung, small intestine, intestine"
Onchocerca volvulus,M,E,human,"skin, eye"
Strongyloides stercoralis,M,E,human,"skin, lung, small intestine, intestine"
Toxocara canis,M,E,human,"liver, heart, lung, brain, muscle, eye"
Trichinella britovi,M,I,human,"intestine, muscle, brain, heart, lung"
Trichinella nativa,M,I,human,"intestine, muscle, brain, heart, lung"
Trichinella nelsoni,M,I,human,"intestine, muscle, brain, heart, lung"
Trichinella pseudospiralis,M,I,"human, pig","intestine, muscle, brain, heart, lung"
Trichinella spiralis,M,I,"human, pig","intestine, brain, heart, muscle, lung"
Trichuris trichiura,M,E,human,"colon, intestine"
Wuchereria bancrofti,M,E,human,"blood, lymph node, lymph vessel"
Clonorchis sinensis,M,E,human,"liver, bile duct"
Opisthorchis felineus,M,E,human,"liver, bile duct, small intestine, intestine"
Opisthorchis viverrini,M,E,human,"liver, bile duct"
Schistosoma haematobium,M,E,human,"skin, urinary bladder, rectum, intestine, liver, blood, lung"
Schistosoma japonicum,M,E,human,"skin, liver, small intestine, intestine, lung, blood"
Schistosoma mansoni,M,E,human,"skin, liver, intestine, spleen, lung, blood"
Echinococcus granulosus,M,E,human,"liver, lung"
Echinococcus multilocularis,M,E,human,"liver, lung"
Hymenolepis diminuta,M,E,"human, rat, mouse","small intestine, intestine"
Taenia asiatica,M,E,human,"small intestine, intestine"
Cryptosporidium muris,U,I,"human, rat, mouse","stomach, intestine"
Cryptosporidium parvum,U,I,human,"small intestine, intestine"
Plasmodium falciparum,U,I,human,"skin, liver, blood, brain, spleen"
Plasmodium knowlesi,U,I,human,"skin, liver, blood"
Plasmodium vivax,U,I,human,"skin, liver, blood"
Toxoplasma gondii,U,I,human,"blood, brain, eye, heart, muscle, placenta, lymph node"
Leishmania braziliensis,U,I,"rat, mouse","skin, nose, mouth, macrophage, blood"
Leishmania infantum,U,I,human,"liver, spleen, bone marrow, lymph node, skin, blood, macrophage"
Leishmania major,U,I,human,"skin, blood, macrophage"
Trypanosoma brucei,U,E,human,"skin, blood, brain, lymph node, spinal cord"
Trypanosoma cruzi,U,I,human,"skin, heart, colon, intestine, muscle, blood, eye"
Entamoeba histolytica,U,E,human,"colon, intestine, liver, brain, lung"
Giardia lamblia,U,E,human,"small intestine, intestine"
Trichomonas vaginalis,U,E,human,"vagina, urethra, uterine cervix, prostate, urinary tract"
Trachipleistophora hominis,U,I,human,"muscle, eye"
Vittaforma corneae,U,I,human,eye
