family,parasites,helminths,protozoa,parasite_groups,host_proteins,interactions,symbols,label
KOG1226,36,27,9,10,6,953,"ITGB1, ITGB2, ITGB4, ITGB5, ITGB7, ITGB8","ITGB1, ITGB2…"
KOG3540,35,27,8,7,4,846,"APLP1, APLP2, APP, PODXL2","APLP1, APLP2…"
KOG0994,31,22,9,8,4,573,"LAMA1, LAMB1, LAMB2, LAMB3","LAMA1, LAMB1…"
KOG3509,27,24,3,4,2,95,"AGRN, HSPG2","AGRN, HSPG2"
KOG3108,26,18,8,9,2,236,"B2M, RPA2","B2M, RPA2"
KOG4338,25,21,4,6,1,261,APOB,APOB
KOG1348,25,20,5,3,1,48,LGMN,LGMN
KOG0099,24,19,5,4,2,58,"GNAL, GNAS","GNAL, GNAS"
KOG4004,23,23,0,2,2,70,"SPARC, SPARCL1","SPARC, SPARCL1"
KOG4087,22,18,4,7,1,70,PLA2G2A,PLA2G2A
KOG3781,22,18,4,2,1,134,DAG1,DAG1
KOG1388,21,17,4,7,5,91,"AFTPH, ATRN, ATRNL1, PAFAH1B2, PAFAH1B3","AFTPH, ATRN…"
KOG4160,21,18,3,3,3,104,"BPI, LBP, PLTP","BPI, LBP…"
KOG1340,21,20,1,1,3,36,"GNLY, PSAP, SFTPB","GNLY, PSAP…"
KOG0860,19,6,13,9,6,127,"VAMP1, VAMP2, VAMP3, VAMP4, VAMP5, VAMP8","VAMP1, VAMP2…"
KOG1025,19,18,1,9,3,95,"EGFR, ERBB2, ERBB3","EGFR, ERBB2…"
KOG3092,19,9,10,8,1,68,LY6G5B,LY6G5B
KOG4221,19,19,0,3,2,82,"DCC, NEO1","DCC, NEO1"
KOG1934,19,19,0,2,1,114,SMPDL3A,SMPDL3A
KOG2736,18,13,5,6,2,85,"PSEN1, PSEN2","PSEN1, PSEN2"
KOG4119,17,13,4,9,3,86,"GNG12, GNG7, GNGT1","GNG12, GNG7…"
KOG4292,17,14,3,6,3,49,"CUBN, NRP1, PCOLCE","CUBN, NRP1…"
KOG3972,17,14,3,3,2,74,"APH1A, APH1B","APH1A, APH1B"
KOG3511,17,17,0,2,2,66,"SORL1, SORT1","SORL1, SORT1"
KOG4257,16,14,2,8,2,43,"PTK2, PTK2B","PTK2, PTK2B"
KOG0264,15,5,10,9,3,241,"RBBP4, RBBP7, WDR73","RBBP4, RBBP7…"
KOG0696,15,10,5,6,3,21,"PRKCA, PRKCB, PRKCG","PRKCA, PRKCB…"
KOG3681,14,11,3,6,4,38,"CTNNA1, CTNNA2, CTNNA3, VCL","CTNNA1, CTNNA2…"
KOG1225,14,14,0,3,2,30,"TNC, WIF1","TNC, WIF1"
KOG3676,14,13,1,2,1,32,TRPV2,TRPV2
KOG1892,13,13,0,3,1,26,AFDN,AFDN
KOG1654,12,5,7,10,4,75,"GABARAP, GABARAPL2, MAP1LC3A, MAP1LC3B",GABARAP…
KOG0643,11,5,6,8,1,44,EIF3I,EIF3I
KOG1786,10,5,5,9,3,84,"NSMAF, WDFY3, WDFY4","NSMAF, WDFY3…"
KOG0782,10,6,4,6,1,93,DGKZ,DGKZ
KOG3521,10,9,1,4,3,55,"LZTR1, PLEKHG5, TNFRSF1A","LZTR1, PLEKHG5…"
KOG1560,10,5,5,4,1,12,EIF3H,EIF3H
KOG3821,10,9,1,3,3,30,"GPC1, GPC3, GPC4","GPC1, GPC3…"
KOG1656,10,6,4,3,2,15,"CHMP4B, TM9SF1","CHMP4B, TM9SF1"
KOG3058,10,6,4,2,2,34,"SAMD8, SGMS1","SAMD8, SGMS1"
KOG2171,10,1,9,2,3,29,"IPO4, IPO5, RANBP6","IPO4, IPO5…"
KOG1898,9,5,4,9,1,33,SF3B3,SF3B3
KOG0213,9,5,4,7,1,29,SF3B1,SF3B1
KOG2330,9,5,4,7,1,29,SF3B2,SF3B2
KOG3459,9,5,4,7,1,29,SNRPD2,SNRPD2
KOG2256,9,5,4,6,1,60,NOC2L,NOC2L
KOG0318,9,5,4,6,1,34,WDR1,WDR1
KOG1897,9,5,4,6,1,34,DDB1,DDB1
KOG1213,9,5,4,6,2,29,"RAD21, REC8","RAD21, REC8"
KOG1795,9,5,4,6,1,28,PRPF8,PRPF8
KOG0007,9,5,4,6,1,25,SF3A1,SF3A1
KOG0131,9,5,4,6,1,25,SF3B4,SF3B4
KOG0533,9,5,4,5,2,90,"ALYREF, POLDIP3","ALYREF, POLDIP3"
KOG3168,9,5,4,5,2,50,"SNRPB, SNRPN","SNRPB, SNRPN"
KOG1869,9,5,4,5,1,28,SRRM2,SRRM2
KOG2497,9,6,3,3,2,30,"TCTN1, TCTN3","TCTN1, TCTN3"
KOG0037,9,4,5,2,5,26,"CAPNS1, GCA, PDCD6, PEF1, SRI","CAPNS1, GCA…"
KOG1076,9,5,4,2,2,20,"EIF3C, EIF3CL","EIF3C, EIF3CL"
KOG2479,9,5,4,2,1,10,EIF3D,EIF3D
KOG2758,9,5,4,2,1,10,EIF3E,EIF3E
KOG3252,9,5,4,2,1,10,EIF3K,EIF3K
KOG3677,9,5,4,2,1,10,EIF3L,EIF3L
KOG1450,9,6,3,1,3,39,"ARHGAP12, ARHGAP9, SYDE2",ARHGAP12…
KOG4337,9,9,0,1,1,13,MTTP,MTTP
KOG0286,8,5,3,13,2,40,"GNB3, GNB5","GNB3, GNB5"
KOG1272,8,5,3,9,1,77,WDR46,WDR46
KOG0575,8,4,4,9,3,40,"PLK1, PLK2, PLK3","PLK1, PLK2…"
KOG1265,8,6,2,9,2,28,"PLCB1, PLCB4","PLCB1, PLCB4"
KOG2369,8,6,2,8,1,78,PLA2G15,PLA2G15
KOG3283,8,5,3,7,1,55,RPS8,RPS8
KOG3320,8,5,3,7,1,55,RPS7,RPS7
KOG3535,8,5,3,7,2,29,"DAB1, DAB2","DAB1, DAB2"
KOG0861,8,1,7,7,1,16,YKT6,YKT6
KOG1780,8,5,3,6,1,24,SNRPG,SNRPG
KOG0009,8,5,3,6,1,16,FAU,FAU
KOG0603,8,5,3,5,5,43,"RPS6KA2, RPS6KA4, RPS6KC1, RPS6KL1, SNX15","RPS6KA2, RPS6KA4…"
KOG2146,8,5,3,5,1,41,SRRM1,SRRM1
